"Gene"	"CC02.17F1a"	"CC06.09F1a"	"CB21.03F1a"	"CC03.15F1a"	"CB05.15F1a"	"CC20.13F1a"	"CB07.01F1a"	"CB20.13F1a"
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_61"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_62"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_63"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_64"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_65"	0	0	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_66"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_67"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_68"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_69"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_70"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_71"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_72"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_73"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_74"	0	0	3	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_75"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_76"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_77"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_78"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_79"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_80"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_81"	0	0	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_82"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_83"	0	1	4	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_84"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_85"	0	1	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_86"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_87"	0	1	6	0	0	0	0	0
